Date,Open,High,Low,Close,Adj Close,Volume
1991-07-25,0.404018,0.408482,0.401786,0.404018,0.329671,65800000
1991-07-26,0.408482,0.408482,0.399554,0.400670,0.326940,74233600
1991-07-29,0.404018,0.406250,0.397321,0.406250,0.331493,53300800
1991-07-30,0.406250,0.417411,0.406250,0.415179,0.338779,91862400
1991-07-31,0.415179,0.418527,0.401786,0.412946,0.336957,102804800
1991-08-01,0.410714,0.439732,0.408482,0.438616,0.357903,448425600
1991-08-02,0.444196,0.448661,0.437500,0.446429,0.364278,273011200
1991-08-05,0.444196,0.444196,0.430804,0.433036,0.353350,100766400
1991-08-06,0.435268,0.448661,0.426339,0.441964,0.360635,220427200
1991-08-07,0.441964,0.455357,0.440848,0.449777,0.367010,211612800
1991-08-08,0.453125,0.462054,0.446429,0.450893,0.367920,189448000
1991-08-09,0.450893,0.455357,0.444196,0.453125,0.369742,154403200
1991-08-12,0.453125,0.466518,0.450893,0.462054,0.377028,142531200
1991-08-13,0.464286,0.482143,0.464286,0.477679,0.389777,286585600
1991-08-14,0.488839,0.491071,0.481027,0.489955,0.399794,200715200
1991-08-15,0.491071,0.491071,0.473214,0.475446,0.387955,145544000
1991-08-16,0.470982,0.484375,0.466518,0.475446,0.387955,158804800
1991-08-19,0.441964,0.460938,0.433036,0.450893,0.368751,322481600
1991-08-20,0.459821,0.462054,0.450893,0.455357,0.372402,199427200
1991-08-21,0.468750,0.483259,0.464286,0.479911,0.392483,223372800
1991-08-22,0.482143,0.488839,0.479911,0.484375,0.396134,165648000
1991-08-23,0.482143,0.495536,0.470982,0.473214,0.387006,240419200
1991-08-26,0.473214,0.477679,0.468750,0.473214,0.387006,101595200
1991-08-27,0.473214,0.482143,0.470982,0.482143,0.394308,100352000
1991-08-28,0.482143,0.484375,0.474330,0.475446,0.388831,107587200
1991-08-29,0.475446,0.481027,0.468750,0.473214,0.387006,113355200
1991-08-30,0.473214,0.475446,0.466518,0.473214,0.387006,66136000
1991-09-03,0.470982,0.475446,0.464286,0.468750,0.383355,68376000
1991-09-04,0.470982,0.470982,0.458705,0.459821,0.376053,119784000
1991-09-05,0.459821,0.462054,0.453125,0.455357,0.372402,77884800
1991-09-06,0.455357,0.462054,0.450893,0.459821,0.376053,79273600
1991-09-09,0.462054,0.477679,0.459821,0.475446,0.388831,126481600
1991-09-10,0.470982,0.476563,0.444196,0.447545,0.366013,182840000
1991-09-11,0.453125,0.455357,0.441964,0.450893,0.368751,178001600
1991-09-12,0.457589,0.457589,0.444196,0.452009,0.369664,119212800
1991-09-13,0.446429,0.448661,0.433036,0.434152,0.355060,166734400
1991-09-16,0.439732,0.439732,0.415179,0.421875,0.345020,205777600
1991-09-17,0.419643,0.437500,0.417411,0.437500,0.357798,135408000
1991-09-18,0.435268,0.450893,0.433036,0.447545,0.366013,121352000
1991-09-19,0.448661,0.450893,0.441964,0.444196,0.363274,178337600
1991-09-20,0.444196,0.455357,0.441964,0.452009,0.369664,188148800
1991-09-23,0.446429,0.453125,0.439732,0.441964,0.361449,87662400
1991-09-24,0.441964,0.449777,0.430804,0.448661,0.366926,106097600
1991-09-25,0.448661,0.450893,0.439732,0.450893,0.368751,54465600
1991-09-26,0.448661,0.448661,0.437500,0.446429,0.365101,71220800
1991-09-27,0.446429,0.453125,0.435268,0.437500,0.357798,62809600
1991-09-30,0.439732,0.444196,0.437500,0.441964,0.361449,63201600
1991-10-01,0.439732,0.457589,0.437500,0.453125,0.370577,131376000
1991-10-02,0.462054,0.462054,0.441964,0.444196,0.363274,17987200
1991-10-03,0.446429,0.446429,0.424107,0.426339,0.348670,181003200
1991-10-04,0.428571,0.435268,0.424107,0.430804,0.352322,79374400
1991-10-07,0.428571,0.435268,0.424107,0.429688,0.351409,64702400
